[2022-12-11 05:47:48,090: INFO/MainProcess] beat: Starting...
[2022-12-11 05:49:27,489: INFO/MainProcess] beat: Starting...
[2022-12-11 05:50:58,013: INFO/MainProcess] beat: Starting...
[2022-12-11 06:25:50,451: INFO/MainProcess] beat: Starting...
[2022-12-11 06:29:58,212: INFO/MainProcess] beat: Starting...
[2022-12-17 06:48:35,012: INFO/MainProcess] beat: Starting...
[2022-12-17 06:48:35,146: INFO/MainProcess] Scheduler: Sending due task Get-All-Person-Daily (get_new_person_everyday)
[2022-12-17 06:48:35,161: INFO/MainProcess] Scheduler: Sending due task Update-All-Drama-Daily (update_kdrama)
[2022-12-17 06:48:35,165: INFO/MainProcess] Scheduler: Sending due task Get-All-Genres-Daily (get_all_genres_everyday)
[2022-12-17 06:48:35,168: INFO/MainProcess] Scheduler: Sending due task Update-All-Movie-Daily (update_movie)
[2022-12-17 06:48:35,170: INFO/MainProcess] Scheduler: Sending due task Get-All-Movie-Daily (get_new_movie_everyday)
[2022-12-17 06:48:35,172: INFO/MainProcess] Scheduler: Sending due task Get-All-Kdrama-Daily (get_new_kdrama_everyday)
